NoAction,Action,Num
0,0,1
0,0,2
0,0,3
0,0,4
0,0,5
0,0,6
0,0,7
0,0,8
0,0,9
0,0,10
0,0,11
0,0,12
0,0,13
0,0,14
0,0,15
0,0,16
0,0,17
0,0,18
0,0,19
0,0,20
0,0,21
0,0,22
0,0,23
0,0,24
0,0,25
0,0,26
0,0,27
0,0,28
0,0,29
0,0,30
0,0,31
0,0,32
0,0,33
0,0,34
0,0,35
0,0,36
0,0,37
0,0,38
0,0,39
0,0,40
0,0,41
0,0,42
0,0,43
0,0,44
0,0,45
0,0,46
0,0,47
0,0,48
0,0,49
0,0,50
0,0,51
0,0,52
0,0,53
0,0,54
0,0,55
0,0,56
0,0,57
0,0,58
0,0,59
0,0,60
0,0,61
0,0,62
0,0,63
0,0,64
0,0,65
0,0,66
0,0,67
0,0,68
0,0,69
0,0,70
0,0,71
0,0,72
0,0,73
0,0,74
0,0,75
0,0,76
0,0,77
0,0,78
0,0,79
0,0,80
0,0,81
0,0,82
0,0,83
0,0,84
0,0,85
-0.135284686,0,86
-0.135284686,-0.530935395,87
-0.040585406,-0.530935395,88
-0.093346433,-0.530935395,89
-0.02800393,-0.530935395,90
-10.60411655,-0.530935395,91
-10.60411655,-1.497797282,92
-10.60411655,-1.051666601,93
-10.60411655,-5.008247338,94
-10.60411655,-1.540546855,95
-10.60411655,-0.473585852,96
-10.60411655,-0.162092133,97
-10.60411655,-0.057588752,98
-10.60411655,-0.020851818,99
-10.60411655,-0.007594161,100
-10.60411655,-31.68731623,101
-3.301252645,-31.68731623,102
-1.035545036,-31.68731623,103
-0.326963465,-31.68731623,104
-1.351233249,-31.68731623,105
-0.405369975,-31.68731623,106
-0.121610992,-31.68731623,107
-0.412509117,-31.68731623,108
-0.236560481,-31.68731623,109
-0.183256882,-31.68731623,110
-0.054977065,-31.68731623,111
-10.75867053,-31.68731623,112
-3.22760116,-31.68731623,113
-4.220309482,-31.68731623,114
-2.250514358,-31.68731623,115
-1.937487049,-31.68731623,116
-1.250047824,-31.68731623,117
-3.638573635,-31.68731623,118
-2.096749047,-31.68731623,119
-0.834115623,-31.68731623,120
-0.269898788,-31.68731623,121
-0.094701618,-31.68731623,122
-0.07460601,-31.68731623,123
-0.022381803,-31.68731623,124
-0.020573198,-31.68731623,125
-0.011034504,-31.68731623,126
-0.004980599,-31.68731623,127
-0.00149418,-31.68731623,128
-0.090977625,-31.68731623,129
-0.054471133,-31.68731623,130
-0.016848124,-31.68731623,131
-0.013798065,-31.68731623,132
-0.016660708,-31.68731623,133
-0.004998212,-31.68731623,134
-0.005257563,-31.68731623,135
-0.002704699,-31.68731623,136
-0.001202315,-31.68731623,137
-0.002822504,-31.68731623,138
-4.848446978,-31.68731623,139
-1.454651365,-31.68731623,140
-1.466740214,-31.68731623,141
-25.45674982,-31.68731623,142
-27.6906073,-31.68731623,143
-13.48499187,-31.68731623,144
-10.02071461,-31.68731623,145
-4.798779498,-31.68731623,146
-2.919153679,-31.68731623,147
-1.661942493,-31.68731623,148
-1.241798028,-31.68731623,149
-1.075570463,-31.68731623,150
-0.576446363,-31.68731623,151
