Games,Total States
10,419
20,832
30,1168
40,1296
50,1443
60,1578
70,1715
80,1806
90,1973
100,2064
110,2176
120,2281
130,2401
140,2530
150,2710
160,2856
170,2930
180,3064
190,3199
200,3343
210,3425
220,3509
230,3660
240,3745
250,3779
260,3891
270,3929
280,4024
290,4103
300,4174
310,4287
320,4406
330,4500
340,4671
350,4788
360,4900
370,4992
380,5120
390,5307
400,5487
410,5560
420,5699
430,5800
440,5898
450,5944
460,6031
470,6167
480,6226
490,6318
500,6391
510,6514
520,6633
530,6736
540,6805
550,6935
560,7002
570,7095
580,7215
590,7271
600,7373
610,7490
620,7582
630,7686
640,7816
650,7865
660,7991
670,8090
680,8175
690,8249
700,8314
710,8376
720,8500
730,8569
740,8636
750,8708
760,8753
770,8774
780,8791
790,8808
800,8863
810,8882
820,8937
830,9024
840,9067
850,9140
860,9196
870,9240
880,9265
890,9287
900,9343
910,9379
920,9427
930,9453
940,9483
950,9544
960,9606
970,9629
980,9661
990,9688
1000,9730
1010,9775
1020,9816
1030,9889
1040,9934
1050,9975
1060,10024
1070,10081
1080,10125
1090,10182
1100,10225
1110,10233
1120,10251
1130,10302
1140,10361
1150,10387
1160,10451
1170,10515
1180,10560
1190,10609
1200,10673
1210,10697
1220,10743
1230,10805
1240,10861
1250,10918
1260,10957
1270,11006
1280,11072
1290,11133
1300,11195
1310,11248
1320,11285
1330,11293
1340,11331
1350,11385
1360,11431
1370,11508
1380,11515
1390,11527
1400,11542
1410,11550
1420,11561
1430,11586
1440,11626
1450,11673
1460,11696
1470,11710
1480,11733
1490,11790
1500,11841
1510,11861
1520,11911
1530,11955
1540,11990
1550,12054
1560,12062
1570,12072
1580,12091
1590,12121
1600,12135
1610,12147
1620,12203
1630,12268
1640,12318
1650,12366
1660,12392
1670,12421
1680,12435
1690,12493
1700,12547
1710,12587
1720,12623
1730,12655
1740,12697
1750,12717
1760,12785
1770,12815
1780,12857
1790,12884
1800,12923
1810,12940
1820,12979
1830,12995
1840,13017
1850,13032
1860,13043
1870,13056
1880,13065
1890,13080
1900,13106
1910,13109
1920,13149
1930,13162
1940,13213
1950,13232
1960,13255
1970,13303
1980,13307
1990,13317
2000,13326
2010,13334
2020,13345
2030,13353
2040,13367
2050,13371
2060,13385
2070,13399
2080,13433
2090,13452
2100,13465
2110,13470
2120,13484
2130,13492
2140,13496
2150,13522
2160,13558
2170,13566
2180,13586
2190,13639
2200,13642
2210,13697
2220,13722
2230,13734
2240,13764
2250,13781
2260,13807
2270,13815
2280,13836
2290,13905
2300,13924
2310,13957
2320,14002
2330,14026
2340,14046
2350,14063
2360,14073
2370,14084
2380,14104
2390,14142
2400,14175
2410,14196
2420,14248
2430,14278
2440,14303
2450,14388
2460,14453
2470,14529
2480,14556
2490,14596
2500,14612
2510,14675
2520,14747
2530,14790
2540,14825
2550,14884
2560,14915
2570,14944
2580,14992
2590,15023
2600,15040
2610,15074
2620,15144
2630,15157
2640,15184
2650,15238
2660,15304
2670,15330
2680,15397
2690,15470
2700,15525
2710,15556
2720,15579
2730,15667
2740,15738
2750,15781
2760,15831
2770,15858
2780,15889
2790,15939
2800,15972
2810,16007
2820,16072
2830,16122
2840,16171
2850,16223
2860,16249
2870,16308
2880,16347
2890,16363
2900,16392
2910,16427
2920,16472
2930,16515
2940,16579
2950,16624
2960,16660
2970,16713
2980,16736
2990,16760
3000,16807
3010,16831
3020,16871
3030,16888
3040,16910
3050,16924
3060,16971
3070,17001
3080,17023
3090,17024
3100,17049
3110,17063
3120,17081
3130,17123
3140,17170
3150,17198
3160,17243
3170,17276
3180,17297
3190,17325
3200,17345
3210,17361
3220,17385
3230,17423
3240,17448
3250,17487
3260,17496
3270,17532
3280,17574
3290,17583
3300,17607
3310,17641
3320,17655
3330,17669
3340,17698
3350,17722
3360,17747
3370,17781
3380,17812
3390,17833
3400,17841
3410,17854
3420,17902
3430,17940
3440,17965
3450,17983
3460,18008
3470,18037
3480,18062
3490,18084
3500,18108
3510,18140
3520,18163
3530,18208
3540,18225
3550,18235
3560,18261
3570,18288
3580,18303
3590,18311
3600,18325
3610,18363
3620,18401
3630,18427
3640,18451
3650,18482
3660,18494
3670,18502
3680,18522
3690,18543
3700,18567
3710,18587
3720,18619
3730,18645
3740,18667
3750,18697
3760,18724
3770,18752
3780,18769
3790,18780
3800,18803
3810,18847
3820,18887
3830,18920
3840,18931
3850,18945
3860,18967
3870,18981
3880,18996
3890,19007
3900,19019
3910,19046
3920,19068
3930,19083
3940,19101
3950,19132
3960,19160
3970,19175
3980,19197
3990,19216
4000,19233
4010,19240
4020,19261
4030,19274
4040,19301
4050,19312
4060,19341
4070,19360
4080,19382
4090,19389
4100,19422
4110,19425
4120,19448
4130,19463
4140,19477
4150,19496
4160,19510
4170,19527
4180,19544
4190,19552
4200,19581
4210,19593
4220,19601
4230,19612
4240,19624
4250,19649
4260,19674
4270,19677
4280,19700
4290,19717
4300,19730
4310,19741
4320,19751
4330,19763
4340,19778
4350,19788
4360,19818
4370,19850
4380,19867
4390,19879
4400,19897
4410,19901
4420,19930
4430,19942
4440,19967
4450,19977
4460,19991
4470,20010
4480,20026
4490,20052
4500,20058
4510,20084
4520,20091
4530,20104
4540,20109
4550,20125
4560,20159
4570,20165
4580,20182
4590,20201
4600,20205
4610,20215
4620,20224
4630,20245
4640,20256
4650,20272
4660,20284
4670,20291
4680,20297
4690,20317
4700,20338
4710,20363
4720,20377
4730,20385
4740,20409
4750,20430
4760,20439
4770,20462
4780,20479
4790,20495
4800,20511
4810,20525
4820,20540
4830,20553
4840,20571
4850,20585
4860,20635
4870,20641
4880,20653
4890,20672
4900,20686
4910,20699
4920,20718
4930,20730
4940,20750
4950,20772
4960,20779
4970,20794
4980,20799
4990,20826
5000,20848
5010,20850
5020,20860
5030,20874
5040,20889
5050,20900
5060,20915
5070,20919
5080,20940
5090,20963
5100,20974
5110,21008
5120,21031
5130,21044
5140,21067
5150,21084
5160,21091
5170,21106
5180,21126
5190,21170
5200,21187
5210,21214
5220,21223
5230,21230
5240,21237
5250,21247
5260,21257
5270,21268
5280,21288
5290,21309
5300,21327
5310,21341
5320,21370
5330,21387
5340,21405
5350,21431
5360,21442
5370,21461
5380,21474
5390,21494
5400,21512
5410,21524
5420,21534
5430,21547
5440,21568
5450,21575
5460,21589
5470,21604
5480,21613
5490,21638
5500,21651
5510,21668
5520,21684
5530,21699
5540,21719
5550,21732
5560,21742
5570,21753
5580,21765
5590,21783
5600,21805
5610,21834
5620,21850
5630,21873
5640,21883
5650,21900
5660,21918
5670,21931
5680,21947
5690,21985
5700,21996
5710,22001
5720,22016
5730,22030
5740,22037
5750,22046
5760,22050
5770,22057
5780,22072
5790,22082
5800,22089
5810,22097
5820,22118
5830,22123
5840,22132
5850,22138
5860,22152
5870,22179
5880,22202
5890,22206
5900,22217
5910,22224
5920,22231
5930,22252
5940,22262
5950,22276
5960,22286
5970,22296
5980,22306
5990,22310
6000,22318
6010,22329
6020,22337
6030,22343
6040,22354
6050,22374
6060,22385
6070,22396
6080,22425
6090,22441
6100,22455
6110,22495
6120,22514
6130,22528
6140,22535
6150,22544
6160,22550
6170,22552
6180,22572
6190,22602
6200,22612
6210,22637
6220,22646
6230,22660
6240,22672
6250,22678
6260,22683
6270,22716
6280,22724
6290,22747
6300,22762
6310,22770
6320,22780
6330,22789
6340,22799
6350,22811
6360,22839
6370,22844
6380,22853
6390,22869
6400,22888
6410,22931
6420,22945
6430,22976
6440,23001
6450,23012
6460,23027
6470,23034
6480,23043
6490,23046
6500,23060
6510,23076
6520,23090
6530,23108
6540,23118
6550,23137
6560,23147
6570,23160
6580,23173
6590,23188
6600,23195
6610,23205
6620,23219
6630,23231
6640,23241
6650,23251
6660,23288
6670,23309
6680,23323
6690,23347
6700,23362
6710,23374
6720,23388
6730,23397
6740,23408
6750,23410
6760,23418
6770,23432
6780,23445
6790,23459
6800,23474
6810,23485
6820,23492
6830,23519
6840,23554
6850,23563
6860,23573
6870,23595
6880,23624
6890,23637
6900,23658
6910,23680
6920,23692
6930,23727
6940,23747
6950,23765
6960,23779
6970,23794
6980,23809
6990,23828
7000,23846
7010,23860
7020,23864
7030,23868
7040,23877
7050,23887
7060,23916
7070,23930
7080,23944
7090,23965
7100,23977
7110,23996
7120,24001
7130,24016
7140,24042
7150,24066
7160,24093
7170,24107
7180,24114
7190,24124
7200,24151
7210,24161
7220,24175
7230,24183
7240,24202
7250,24212
7260,24228
7270,24238
7280,24251
7290,24261
7300,24283
7310,24294
7320,24310
7330,24318
7340,24339
7350,24351
7360,24374
7370,24390
7380,24399
7390,24416
7400,24433
7410,24448
7420,24462
7430,24477
7440,24506
7450,24523
7460,24547
7470,24558
7480,24572
7490,24578
7500,24597
7510,24606
7520,24632
7530,24668
7540,24683
7550,24693
7560,24700
